"Category","TreeID"
"ID 74",91169
"ID 83",87621
"ID 84",82545
"ID 136",84372
"ID 312",82990
"ID 313",89709
"ID 314",90411
"ID 319",90149
"ID 320",82272
"ID 321",80439
"ID 62",91523
"ID 73",88355
"ID 81",87043
"ID 82",87083
"ID 95",75375
"ID 112",84021
"ID 122",91080
"ID 1213",88296
"ID 1214",86306
"ID 1218",82770
"ID 126",55519
"ID 134",62624
"ID 143",55074
"ID 145",60717
"ID 149",64540
"ID 219",75458
"ID 612",74916
"ID 821",55134
"ID 1018",81727
"ID 1416",67713
"ID 43",42429
"ID 44",77564
"ID 72",56945
"ID 135",61662
"ID 138",63213
"ID 144",75529
"ID 413",66991
"ID 1310",72277
"ID 1412",72063
"ID 1415",67078
