"Category","TreeID and 850cm"
"ID 74",66242
"ID 83",15565
"ID 84",147008
"ID 136",170280
"ID 312",41882
"ID 313",162108
"ID 314",61244
"ID 319",80265
"ID 320",54196
"ID 321",66407
"ID 62",186261
"ID 73",40585
"ID 81",149681
"ID 82",132687
"ID 95",240772
"ID 112",131958
"ID 122",255911
"ID 1213",171886
"ID 1214",117320
"ID 1218",48030
"ID 126",55220
"ID 134",133475
"ID 143",141530
"ID 145",327289
"ID 149",160584
"ID 219",75172
"ID 612",316915
"ID 821",371784
"ID 1018",451742
"ID 1416",411279
"ID 43",226890
"ID 44",45109
"ID 72",30982
"ID 135",168755
"ID 138",182621
"ID 144",168263
"ID 413",255988
"ID 1310",517101
"ID 1412",508446
"ID 1415",135266
